cost_function,algorithm,budget_percentage,budget_k,seed_set_size,seed_set_cost,activated_nodes,diffusion_ratio,runtime_seconds,num_nodes,num_edges,total_cost
degree,Threshold-Deficit Greedy,0.1,4316,3933,4316,4244,0.3902169915410077,45.04815550002968,10876,39994,43166
degree,Greedy f1,0.2,8633,990,8630,2865,0.2634240529606473,64.45195810002042,10876,39994,43166
degree,Greedy f2,0.2,8633,2408,8628,2581,0.2373115115851416,169.46420360001503,10876,39994,43166
degree,Greedy f3,0.2,8633,1942,8628,4469,0.41090474439132035,136.85647900000913,10876,39994,43166
degree,WTSS,0.2,8633,2119,7044,10876,1.0,10.095613299985416,10876,39994,43166
degree,Threshold-Deficit Greedy,0.2,8633,5407,8393,10876,1.0,56.701552899961825,10876,39994,43166
sublinear,Greedy f1,0.005,210,29,209,103,0.009470393527031997,1.7760833000065759,10876,39994,42010
sublinear,Greedy f2,0.005,210,33,206,73,0.006712026480323648,2.2189450000296347,10876,39994,42010
sublinear,Greedy f3,0.005,210,29,209,139,0.012780433983082016,1.9374383999966085,10876,39994,42010
sublinear,WTSS,0.005,210,37,208,160,0.01471129091577786,9.280395800014958,10876,39994,42010
sublinear,Threshold-Deficit Greedy,0.005,210,32,210,231,0.021239426259654283,0.4317977000027895,10876,39994,42010
sublinear,Greedy f1,0.01,420,59,419,258,0.0237219566016918,3.8152353999903426,10876,39994,42010
sublinear,Greedy f2,0.01,420,69,418,129,0.0118609783008459,4.868357500003185,10876,39994,42010
sublinear,Greedy f3,0.01,420,60,415,250,0.022986392055902905,4.417063900036737,10876,39994,42010
sublinear,WTSS,0.01,420,73,416,260,0.023905847738139023,9.454086599987932,10876,39994,42010
sublinear,Threshold-Deficit Greedy,0.01,420,62,420,372,0.03420375137918352,0.8067692999611609,10876,39994,42010
sublinear,Greedy f1,0.02,840,125,835,535,0.04919087899963222,8.256442200043239,10876,39994,42010
sublinear,Greedy f2,0.02,840,139,838,272,0.02500919455682236,9.606238400039729,10876,39994,42010
sublinear,Greedy f3,0.02,840,128,840,512,0.04707613093048915,9.177582700038329,10876,39994,42010
sublinear,WTSS,0.02,840,148,835,453,0.04165134240529606,9.66957469994668,10876,39994,42010
sublinear,Threshold-Deficit Greedy,0.02,840,130,840,757,0.069602795145274,1.5999185999971814,10876,39994,42010
sublinear,Greedy f1,0.05,2100,334,2098,1265,0.11631114380286871,22.218028099974617,10876,39994,42010
sublinear,Greedy f2,0.05,2100,354,2095,729,0.06702831923501287,24.635930699994788,10876,39994,42010
sublinear,Greedy f3,0.05,2100,340,2096,1242,0.11419639573372563,24.20582309999736,10876,39994,42010
sublinear,WTSS,0.05,2100,376,2099,1055,0.09700257447591026,9.949192300031427,10876,39994,42010
sublinear,Threshold-Deficit Greedy,0.05,2100,362,2100,2002,0.18407502758367048,4.164491200004704,10876,39994,42010
sublinear,Greedy f1,0.1,4201,712,4200,2621,0.24098933431408606,46.05479690001812,10876,39994,42010
sublinear,Greedy f2,0.1,4201,730,4199,1795,0.16504229496138287,50.3847364000394,10876,39994,42010
sublinear,Greedy f3,0.1,4201,728,4199,3009,0.2766642147848474,50.89565560000483,10876,39994,42010
sublinear,WTSS,0.1,4201,760,4201,2239,0.20586612725266643,10.315232999972068,10876,39994,42010
sublinear,Threshold-Deficit Greedy,0.1,4201,756,4200,4361,0.4009746230231703,7.726336000021547,10876,39994,42010
sublinear,Greedy f1,0.2,8402,1498,8401,10850,0.9976094152261861,92.60709269996732,10876,39994,42010
sublinear,Greedy f2,0.2,8402,1519,8402,10840,0.99668995954395,99.98525120003615,10876,39994,42010
sublinear,Greedy f3,0.2,8402,1530,8400,10871,0.999540272158882,102.83052250003675,10876,39994,42010
sublinear,WTSS,0.2,8402,878,4939,10876,1.0,10.302279900002759,10876,39994,42010
sublinear,Threshold-Deficit Greedy,0.2,8402,826,4573,10876,1.0,8.431426400027703,10876,39994,42010
