budget_k,Greedy f1,Greedy f2,Greedy f3,Threshold-Deficit Greedy,WTSS
300,0.0585693269584406,0.0443177638837808,0.06518940787054064,0.07879735196763515,0.036686281721221035
600,0.10776020595807283,0.08615299742552408,0.11272526664214785,0.1273446119897021,0.06923501287237956
1201,0.17515630746598013,0.1487679293858036,0.18168444280985657,0.21064729680029423,0.1273446119897021
3003,0.9976094152261861,0.9976094152261861,0.999540272158882,1.0,0.31463773446119897
6007,0.9985288709084222,0.9976094152261861,0.999540272158882,1.0,1.0
12014,0.999540272158882,0.999540272158882,1.0,1.0,1.0
