budget_k,Greedy f1,Greedy f2,Greedy f3,Threshold-Deficit Greedy,WTSS
210,0.009470393527031997,0.006712026480323648,0.012780433983082016,0.021239426259654283,0.01471129091577786
420,0.0237219566016918,0.0118609783008459,0.022986392055902905,0.03420375137918352,0.023905847738139023
840,0.04919087899963222,0.02500919455682236,0.04707613093048915,0.069602795145274,0.04165134240529606
2100,0.11631114380286871,0.06702831923501287,0.11419639573372563,0.18407502758367048,0.09700257447591026
4201,0.24098933431408606,0.16504229496138287,0.2766642147848474,0.4009746230231703,0.20586612725266643
8402,0.9976094152261861,0.99668995954395,0.999540272158882,1.0,1.0
